time, local_time, values[0], values[1], values[2], values[3], values[4], values[5], values[6], values[7], values[8], values[9], values[10], values[11], values[12]
1515578191857043981, 0.0390360355377, 0.2, -5.88417110885e-16, 2.12492424737e-20, -4.08622993659e-17, -9.65320424415e-20, -1.93782938127e-16, 4.98807365307e-20, 5.4105524261e-05, 0.360088791789, 0.278327565353, 5.3272565939e-05, -0.638416358049, -3.27199800819e-05
1515578191873351097, 0.0553829669952, 0.2, 7.39864378159e-06, -8.51221220356e-07, -7.99421895806e-09, 2.23439175245e-10, 3.33090842807e-11, -9.98851048399e-10, 5.1392489411e-05, 0.360068738383, 0.278341397166, 5.32716699733e-05, -0.638410136192, -3.5433140927e-05
1515578191893757104, 0.0757508277893, 0.2, 1.6842412476e-05, -1.9377484239e-06, -8.58785966768e-06, 5.14584651411e-10, 7.67069615263e-11, -2.30024299149e-09, 4.79296118355e-05, 0.360049297164, 0.278355916355, 5.32721787293e-05, -0.638405213825, -3.88978685261e-05
1515578191903189897, 0.0851898193359, 0.2, 1.90976000075e-05, -2.19721959242e-06, -1.1424968784e-05, 5.83802113013e-10, 8.7028065658e-11, -2.60971651186e-09, 4.71026703845e-05, 0.360045220745, 0.278359095149, 5.32724530048e-05, -0.638404316119, -3.97254036036e-05
1515578191928129911, 0.110129833221, 0.2, 2.14579204601e-05, -2.47629499563e-06, -0.000337058738143, 6.35861808363e-10, 9.83284330197e-11, -2.95724519061e-09, 4.62132312111e-05, 0.360272725922, 0.278244314867, 5.33352216473e-05, -0.638517040926, -4.06781894358e-05
1515578191937213897, 0.119258880615, 0.2, 8.69039509122e-06, -3.14939155804e-06, -0.00571517617737, -5.82297207846e-09, 1.26240661183e-10, -6.10081678913e-09, 4.40581433541e-05, 0.364181074453, 0.276242736021, 5.43964143232e-05, -0.640423810355, -4.38977685934e-05
1515578191945010900, 0.127007961273, 0.2, 8.69039509122e-06, -3.14939155804e-06, -0.00571517617737, -5.82297207846e-09, 1.26240661183e-10, -6.10081678913e-09, 4.40580793232e-05, 0.364181074454, 0.276242736021, 5.43964143129e-05, -0.640423810355, -4.38978326178e-05
1515578191959201097, 0.141197919846, 0.2, -6.83362019279e-06, -3.2559537251e-06, -0.00783280440165, -1.1679083372e-08, 1.31375958636e-10, -8.28137951726e-09, 4.37095246717e-05, 0.365756936927, 0.27542863449, 5.48259390226e-05, -0.641185571245, -4.46763174976e-05
1515578191966064929, 0.148072957993, 0.2, -6.1409153657e-05, -3.40270196748e-06, -0.0125806737308, -3.17457256143e-08, 1.40221569418e-10, -1.54077327898e-08, 4.32110826973e-05, 0.369371111963, 0.273547947069, 5.58161769461e-05, -0.642919058769, -4.61643026474e-05
1515578191973138093, 0.155143976212, 0.2, -0.000102778318032, -3.44645362898e-06, -0.0151738883983, -4.68830254128e-08, 1.44194580195e-10, -2.06504585268e-08, 4.30480170313e-05, 0.371397151321, 0.272485795544, 5.63746497935e-05, -0.643882946562, -4.68845099681e-05
1515578191983755111, 0.165768861771, 0.2, -0.000154558817913, -3.47308225367e-06, -0.0178738376501, -6.58863019276e-08, 1.48017033025e-10, -2.71515424246e-08, 4.29336468399e-05, 0.373549656288, 0.271351489657, 5.69708320457e-05, -0.644901145606, -4.75929408427e-05
1515578191990288972, 0.172297954559, 0.2, -0.000216912257115, -3.48407637447e-06, -0.0206529810308, -8.89112914949e-08, 1.51759524394e-10, -3.49458385687e-08, 4.28627971717e-05, 0.375814172062, 0.270152077513, 5.76015021915e-05, -0.645966249201, -4.82914889713e-05
1515578192014488935, 0.196486949921, 0.2, -0.000370705284114, -3.46226264243e-06, -0.0263639683906, -1.46580594661e-07, 1.59103161711e-10, -5.41890964464e-08, 4.28437908613e-05, 0.380631809107, 0.267582571391, 5.89573668985e-05, -0.648214380063, -4.96578774402e-05
1515578192040080070, 0.222074985504, 0.2, -0.000556153723914, -3.38798285701e-06, -0.0321530116473, -2.1818307603e-07, 1.66322007622e-10, -7.76760270922e-08, 4.29701279474e-05, 0.385759096389, 0.264826272069, 6.04260313081e-05, -0.650585367971, -5.09885489732e-05
1515578192063889026, 0.245965003967, 0.2, -0.000988520122298, -3.12560133447e-06, -0.0434685452048, -3.96489736095e-07, 1.80909749821e-10, -1.34813696553e-07, 4.35419895278e-05, 0.396641838091, 0.258920329514, 6.36513008664e-05, -0.655562167033, -5.36100926426e-05
1515578192077914953, 0.260030984879, 0.2, -0.00135324302777, -2.863153404e-06, -0.0513799227935, -5.61715881637e-07, 1.92848257458e-10, -1.86504759228e-07, 4.41332887336e-05, 0.405179475187, 0.254240861386, 6.62963531835e-05, -0.659420335943, -5.56318255374e-05
1515578192094096899, 0.27609205246, 0.2, -0.00148070457936, -2.76782754116e-06, -0.0538676857507, -6.23078617602e-07, 1.97140567071e-10, -2.05454154802e-07, 4.43384950682e-05, 0.408075538239, 0.252645199163, 6.72184995951e-05, -0.660720736752, -5.6336413142e-05
1515578192104741096, 0.286743879318, 0.2, -0.00173975691054, -2.57006106449e-06, -0.0585924279463, -7.54424056876e-07, 2.06198059444e-10, -2.45621082451e-07, 4.47877575287e-05, 0.413916883073, 0.249415854486, 6.91206256239e-05, -0.66333273687, -5.77621933541e-05
1515578192129142045, 0.311116933823, 0.2, -0.00199256600905, -2.36872436162e-06, -0.0629661042068, -8.93334229361e-07, 2.15619162603e-10, -2.87580503154e-07, 4.52371337146e-05, 0.419779533027, 0.246164312856, 7.10941581166e-05, -0.665943845153, -5.92570338277e-05
1515578192142642021, 0.324638843536, 0.2, -0.00222805994487, -2.16963209742e-06, -0.0669806104786, -1.03580108051e-06, 2.25131852627e-10, -3.30142656189e-07, 4.5680184513e-05, 0.425621255268, 0.242917486739, 7.31338088567e-05, -0.668538741233, -6.08230876755e-05
1515578192163513898, 0.345520973206, 0.2, -0.00244551684764, -1.97580571209e-06, -0.0706390519212, -1.18167336947e-06, 2.34782081838e-10, -3.73295502195e-07, 4.61082156939e-05, 0.43143156989, 0.239680867085, 7.52393505652e-05, -0.671112436153, -6.24689015805e-05
1515578192181193113, 0.363190889359, 0.2, -0.00273555803107, -1.69989647924e-06, -0.0754846478759, -1.40570997136e-06, 2.4951593109e-10, -4.38884994192e-07, 4.67178742074e-05, 0.440067108376, 0.234856151687, 7.85211450797e-05, -0.674923259163, -6.50917496313e-05
1515578192199163913, 0.381157875061, 0.2, -0.00290896898403, -1.53323053674e-06, -0.0781860261973, -1.55697414973e-06, 2.59558668199e-10, -4.82745887925e-07, 4.70570955478e-05, 0.445529247299, 0.231790806979, 8.06902188625e-05, -0.67732005332, -6.68878140136e-05
1515578192232716083, 0.414738893509, 0.2, -0.00329373509129, -1.13573938082e-06, -0.084086599738, -1.97251948445e-06, 2.87259144359e-10, -6.0186091071e-07, 4.78874506106e-05, 0.459787803942, 0.223742863739, 8.6745299433e-05, -0.683530666553, -7.2018907826e-05
1515578192238338947, 0.420336008072, 0.2, -0.0033605000241, -1.06395873868e-06, -0.0850682383873, -2.05891834753e-06, 2.93073562592e-10, -6.26376256091e-07, 4.79736341688e-05, 0.462598656207, 0.22214652513, 8.80088639693e-05, -0.684745180166, -7.31766991059e-05
1515578192261790990, 0.44378900528, 0.2, -0.00348043708709, -9.28893320376e-07, -0.086859358218, -2.23197323007e-06, 3.04736227682e-10, -6.75237910669e-07, 4.82310875497e-05, 0.468169532991, 0.218972763098, 9.05885412409e-05, -0.687142294837, -7.54597083915e-05
1515578192270129919, 0.452126979828, 0.2, -0.00358499564303, -8.04284257496e-07, -0.0884410713864, -2.40645321494e-06, 3.16535715881e-10, -7.24212120761e-07, 4.84460930936e-05, 0.473680361619, 0.21581831104, 9.32421184558e-05, -0.68949867132, -7.78587864689e-05
1515578192278055906, 0.460050821304, 0.2, -0.00363400804349, -7.45201885371e-07, -0.0891604833121, -2.49574916403e-06, 3.22612958522e-10, -7.49165651675e-07, 4.85293481671e-05, 0.476420566154, 0.214243319962, 9.45992702703e-05, -0.69066388473, -7.91124442496e-05
1515578192287276029, 0.469290971756, 0.2, -0.00368046902588, -6.88304443853e-07, -0.0898358121831, -2.58594506097e-06, 3.2876851794e-10, -7.7428632789e-07, 4.861877608e-05, 0.479149388488, 0.212670458358, 9.59767392367e-05, -0.691819845412, -8.0380042008e-05
1515578192292906045, 0.474910974503, 0.2, -0.00372260875485, -6.33970107356e-07, -0.0904695984667, -2.67547206829e-06, 3.34876417137e-10, -7.99136235952e-07, 4.87016730603e-05, 0.481861326031, 0.211103068223, 9.73733019746e-05, -0.692964392773, -8.16734747103e-05
1515578192309762954, 0.491758823395, 0.2, -0.00379197456042, -5.33234346637e-07, -0.091622101549, -2.85028519071e-06, 3.46767314412e-10, -8.47464031501e-07, 4.88640272934e-05, 0.487227817271, 0.207988180268, 0.000100223096206, -0.695215995959, -8.43216903964e-05
1515578192316886901, 0.498883008957, 0.2, -0.00382159504287, -4.86150941751e-07, -0.0921452504018, -2.9372495054e-06, 3.52687534634e-10, -8.71426294345e-07, 4.89160283424e-05, 0.489889285042, 0.20643597273, 0.000101678974129, -0.696325256137, -8.57061460407e-05
1515578192328020095, 0.510009050369, 0.2, -0.00384860148848, -4.41008747826e-07, -0.0926357713941, -3.02429910165e-06, 3.58622744201e-10, -8.95353783301e-07, 4.89764795092e-05, 0.492538328137, 0.204885735772, 0.000103156533513, -0.697424062221, -8.710385811e-05
1515578192333666086, 0.515661001205, 0.2, -0.00387222746002, -3.97937285384e-07, -0.0930956387147, -3.11052414087e-06, 3.64497528564e-10, -9.18995453683e-07, 4.90319313262e-05, 0.49517239016, 0.203338888703, 0.000104655305717, -0.698511277121, -8.85280450031e-05
1515578192341382026, 0.523396968842, 0.2, -0.00389204733809, -3.56981196493e-07, -0.093526719615, -3.19533289099e-06, 3.70264176662e-10, -9.42198171096e-07, 4.90829284372e-05, 0.497789931682, 0.201796194613, 0.00010617516098, -0.699586124497, -8.99781882798e-05
1515578192356221914, 0.538219928741, 0.2, -0.00390858816794, -3.17961130667e-07, -0.0939307583944, -3.27906008746e-06, 3.75949859973e-10, -9.65064685139e-07, 4.91297465056e-05, 0.500392361013, 0.20025660118, 0.000107716936164, -0.700648960338, -9.14547635634e-05
1515578192371716976, 0.553712844849, 0.2, -0.0039351595568, -2.44750852628e-07, -0.0946641600769, -3.4459956462e-06, 3.87301418243e-10, -1.01054886465e-06, 4.92244198383e-05, 0.505561437306, 0.197180230878, 0.000110871074835, -0.70274166621, -9.44777514765e-05
