time, local_time, values[0], values[1], values[2], values[3], values[4], values[5]
1515576158183386087, 0.00488615036011, -0.000240857691261, 1.89008958855e-05, 1.4333664194e-06, -1.63524511612e-08, -9.6951760075e-10, 4.96564166039e-08
1515576158183986902, 0.00548505783081, -0.000231495123793, 1.81662408468e-05, 1.2457002296e-06, -1.59842777402e-08, -9.47352569628e-10, 4.8521574975e-08
1515576158184537887, 0.00602912902832, -0.000222143067124, 1.74323758612e-05, 1.0824714257e-06, -1.56168114722e-08, -9.25269431657e-10, 4.7390698576e-08
1515576158184752941, 0.00624299049377, -0.000192952931255, 1.51417195442e-05, 9.40232060362e-07, -1.35647247039e-08, -8.03700660955e-10, 4.11634462529e-08
1515576158186388969, 0.0079391002655, -0.000207112254483, 1.62528384287e-05, 8.17146003589e-07, -1.51444575054e-08, -8.96734802082e-10, 4.59289855445e-08
1515576158191751956, 0.0132880210876, -0.000199051183318, 1.5620237926e-05, 7.0990790066e-07, -1.48110803263e-08, -8.76789661044e-10, 4.49067317794e-08
1515576158198781013, 0.0203051567078, -0.000191711266974, 1.50442241586e-05, 6.16716650567e-07, -1.45073355895e-08, -8.58621388819e-10, 4.39757470314e-08
1515576158200973987, 0.0224771499634, -0.000166520683062, 1.30684716234e-05, 5.41850546236e-07, -1.26007646692e-08, -7.45713759148e-10, 3.81974997654e-08
1515576158205965995, 0.0274980068207, -0.000181188966102, 1.42195629509e-05, 4.7203595397e-07, -1.41849706982e-08, -8.39101289428e-10, 4.29816247247e-08
1515576158208767890, 0.0302901268005, -0.000175317637054, 1.37587541492e-05, 4.10662025722e-07, -1.39200357209e-08, -8.23289409763e-10, 4.21718184508e-08
1515576158222012042, 0.0435149669647, -0.000169222170814, 1.32803624067e-05, 3.57323812623e-07, -1.35987129927e-08, -8.04184915179e-10, 4.11925063452e-08
1515576158225662946, 0.0471630096436, -0.000160750479707, 1.26158136922e-05, 0.000169842344091, -1.3034797335e-08, -7.70746390105e-10, 3.94819544252e-08
1515576158232664108, 0.0541641712189, -0.000147883482325, 1.16060993126e-05, 0.00151403010824, -1.20527446707e-08, -7.12818244535e-10, 3.65170383876e-08
1515576158261167049, 0.0826699733734, -0.000131088228641, 1.02883742668e-05, 0.00634091002215, -1.06925109883e-08, -6.33059833721e-10, 3.2439229995e-08
1515576158267744064, 0.0892741680145, -0.000113187948418, 8.89820303007e-06, 0.0167978324687, -9.10126746626e-09, -5.47339971957e-10, 2.81198740557e-08
1515576158277939081, 0.0994420051575, -9.71917822894e-05, 7.6565152335e-06, 0.0322591456336, -7.66555588146e-09, -4.70780414652e-10, 2.42714528209e-08
1515576158282803058, 0.104305028915, -8.44205472155e-05, 6.6504306283e-06, 0.0280202159366, -6.65828331321e-09, -4.08928016449e-10, 2.10821252628e-08
1515576158286952972, 0.108453035355, -7.26185480387e-05, 5.73932612664e-06, 0.0455583365503, -5.57021712597e-09, -3.53473555981e-10, 1.83172394854e-08
1515576158296508073, 0.118010997772, -6.08731033289e-05, 4.84251670394e-06, 0.0820580924362, -4.48343927163e-09, -3.02407043851e-10, 1.58033935112e-08
1515576158298994064, 0.120491981506, 0.000235776477823, 4.03376538223e-06, 0.0916291488699, 1.59296646272e-07, -2.64550270579e-10, 7.06047453226e-08
1515576158300751924, 0.122254133224, 0.000267726319073, 3.33266570679e-06, 0.100127266545, 1.73061169886e-07, -2.25012286581e-10, 7.31203887209e-08
1515576158310431003, 0.131962060928, 0.000286120169501, 2.71173179718e-06, 0.107670681064, 1.79625311914e-07, -1.9003565388e-10, 7.33931861818e-08
1515576158326961040, 0.148475170135, 0.000284286208442, 2.15179590359e-06, 0.114230114363, 1.75080774561e-07, -1.58366153524e-10, 6.99930253116e-08
1515576158337619066, 0.15912103653, 0.000246930313611, 1.86904472161e-06, 0.0992200012758, 1.52074737665e-07, -1.37577560455e-10, 6.07957726319e-08
1515576158339063882, 0.160564184189, 0.0032241011857, 8.41249228119e-07, 0.126438560985, 1.86748172856e-06, -1.80757464552e-10, 6.27807219481e-07
1515576158348525047, 0.170058012009, 0.0028004464982, 7.30707046496e-07, 0.109824228507, 1.62209011628e-06, -1.57023449798e-10, 5.45311833618e-07
1515576158349206924, 0.170699119568, 0.00340134540574, 3.7218065664e-08, 0.136360557899, 1.96645972854e-06, -1.42669209779e-10, 6.58307936462e-07
1515576158371546983, 0.193049192429, 0.00342469329257, -2.63254248922e-07, 0.138927980075, 1.97886961057e-06, -1.26779031717e-10, 6.61485209238e-07
1515576158385751008, 0.207257032394, 0.00338773278301, -5.24641803225e-07, 0.141146913912, 1.95735930239e-06, -1.11233633415e-10, 6.53466055402e-07
1515576158396275043, 0.217776060104, 0.00586609742896, -1.02365070796e-06, 0.142098065321, 3.43457086861e-06, -1.64781854828e-10, 1.10223237072e-06
1515576158399570941, 0.221095085144, 0.00560726527212, -1.21958273454e-06, 0.143732735732, 3.29144233395e-06, -1.46214651497e-10, 1.05566224293e-06
1515576158402524948, 0.22402715683, 0.00525538234029, -1.38432589479e-06, 0.145138849122, 3.09609639542e-06, -1.26473109763e-10, 9.9241781805e-07
1515576158404414892, 0.225926160812, 0.00489635207767, -1.52378519391e-06, 0.146353874096, 2.89646079712e-06, -1.07862996312e-10, 9.27870394213e-07
1515576158408854961, 0.230381011963, 0.00458747460778, -1.64423655321e-06, 0.147409273234, 2.72464500878e-06, -9.17968479008e-11, 8.72314571054e-07
1515576158410979986, 0.232481002808, 0.00433017725967, -1.74900714874e-06, 0.148327231036, 2.58144463586e-06, -7.816242098e-11, 8.25991903123e-07
1515576158417643070, 0.239145040512, 0.00408106595364, -1.83634516422e-06, 0.149121703928, 2.44199445833e-06, -6.56417142864e-11, 7.80886684049e-07
1515576158422255992, 0.243753194809, 0.00494803326972, -2.02375325969e-06, 0.1493664724, 2.9905398127e-06, -8.47071857102e-11, 9.43574064404e-07
