time, local_time, values[0], values[1], values[2], values[3], values[4], values[5]
1515575452441519975, 0.00870609283447, -0.000173440361616, 2.0653791913e-05, 3.82692293779e-07, -1.65920750545e-08, -1.2047718028e-09, 3.79062504764e-08
1515575452447356939, 0.014594078064, -0.000167002634481, 1.98881895358e-05, 3.36405085623e-07, -1.62564649718e-08, -1.18010267456e-09, 3.71335517048e-08
1515575452459889888, 0.0270991325378, -0.000160942392528, 1.91664832326e-05, 2.92595435558e-07, -1.59402649303e-08, -1.15698729543e-09, 3.64052708651e-08
1515575452464765071, 0.0319509506226, -0.000155447715779, 1.85125705261e-05, 2.56252368782e-07, -1.56532534073e-08, -1.13595110545e-09, 3.57447031838e-08
1515575452471277952, 0.0384631156921, -0.000150531244117, 1.79270742595e-05, 0.000169731724831, -1.5387968361e-08, -1.11659987463e-09, 3.51356050011e-08
1515575452479183912, 0.0463750362396, -0.000145407080208, 1.73169838889e-05, 0.00151376456022, -1.50525732357e-08, -1.09242439053e-09, 3.43771508894e-08
1515575452488044023, 0.0552289485931, -0.000138198774305, 1.64591000282e-05, 0.00634005599441, -1.44325075302e-08, -1.0482946039e-09, 3.29991356135e-08
1515575452498284101, 0.0654940605164, -0.000127152587689, 1.51447925275e-05, 0.0167956750073, -1.33281759564e-08, -9.70120858645e-10, 3.0562312908e-08
1515575452502882957, 0.0700850486755, -0.000109613869524, 1.34141039282e-05, 0.0322542824127, -1.00316937978e-08, -8.61377802419e-10, 2.78284483991e-08
1515575452512052059, 0.0792500972748, -9.24305894521e-05, 1.15563491878e-05, 0.0492328735054, -7.44680644525e-09, -7.43119260571e-10, 2.4474981566e-08
1515575452519874095, 0.0870699882507, -7.66964546105e-05, 9.84819341949e-06, 0.0643951368122, -5.14219439037e-09, -6.35596242304e-10, 2.13978718458e-08
1515575452533833026, 0.101041078568, -6.33445992577e-05, 8.37265181409e-06, 0.0767817607041, -3.33768736108e-09, -5.44737643882e-10, 1.87343178819e-08
1515575452537343978, 0.10452914238, -5.24065843708e-05, 7.07869078697e-06, 0.0871369231025, -2.22910955166e-09, -4.66438498936e-10, 1.62726308612e-08
1515575452545044898, 0.112250089645, 0.000366871248532, 5.85270184369e-06, 0.0961084111007, 2.31832595348e-07, -4.15671830289e-10, 9.5505063455e-08
1515575452553551912, 0.120741128922, 0.000405550820871, 4.78806687491e-06, 0.104170008035, 2.49637386358e-07, -3.53918783169e-10, 9.94136938633e-08
1515575452563007116, 0.130201101303, 0.000432273426363, 3.83682878864e-06, 0.11118098603, 2.61085662509e-07, -2.98799818221e-10, 1.01360377587e-07
1515575452569221973, 0.136409044266, 0.000439625414046, 2.99399842248e-06, 0.117215629835, 2.61951806884e-07, -2.49564036103e-10, 9.9856626058e-08
1515575452577260017, 0.14445400238, 0.000420243959151, 2.2428727485e-06, 0.122435377855, 2.47990999522e-07, -2.04701255946e-10, 9.33807200259e-08
1515575452583008050, 0.150190114975, 0.00285610929816, 1.22031795575e-06, 0.126126762059, 1.65245283244e-06, -2.83565892989e-10, 5.5889416653e-07
1515575452591101884, 0.158394098282, 0.00285292009269, 6.08290088658e-07, 0.130052338117, 1.64979583944e-06, -2.48430387373e-10, 5.56697258407e-07
1515575452599422931, 0.166607141495, 0.00279336295336, 6.80569289622e-08, 0.133453448479, 1.6154753132e-06, -2.14546824751e-10, 5.44034187039e-07
1515575452615735054, 0.182923078537, 0.00266202827519, -4.05393499987e-07, 0.13639367453, 1.54069669522e-06, -1.80684134321e-10, 5.17943035152e-07
1515575452620572090, 0.18776011467, 0.00245797610648, -8.17740197153e-07, 0.138935752118, 1.42475342593e-06, -1.46365919385e-10, 4.78172475042e-07
1515575452623235940, 0.190431118011, 0.00419744074965, -1.45599852319e-06, 0.140417706699, 2.46348429748e-06, -2.11183848187e-10, 8.01820414666e-07
1515575452634258985, 0.201470136642, 0.0049841483606, -1.91224098764e-06, 0.141917393388, 2.95165491182e-06, -2.32317221016e-10, 9.46521484064e-07
1515575452645733118, 0.212934970856, 0.0046716911924, -2.16676642725e-06, 0.143548748688, 2.77782403407e-06, -2.00867378286e-10, 8.90276343309e-07
1515575452647342920, 0.214537143707, 0.00434071028986, -2.37906579587e-06, 0.14495865374, 2.59292709357e-06, -1.70642888708e-10, 8.30548209595e-07
1515575452656958103, 0.224200963974, 0.00401621023214, -2.55771151775e-06, 0.146179071408, 2.41111106292e-06, -1.4257811598e-10, 7.71853159181e-07
1515575452666580915, 0.233767986298, 0.00369357107564, -2.70522799621e-06, 0.147234536078, 2.22938840324e-06, -1.16192666599e-10, 7.13192086127e-07
1515575452672806024, 0.239969015121, 0.00563761708146, -3.1501022028e-06, 0.147290378338, 3.45967844416e-06, -2.0767126907e-10, 1.07988000271e-06
1515575452680877923, 0.248062133789, 0.00521961465628, -3.22577795114e-06, 0.14806416392, 3.22383249967e-06, -1.7959339571e-10, 1.00626726311e-06
1515575452686466932, 0.253653049469, 0.00474363877402, -3.26821064839e-06, 0.148724174482, 2.952937786e-06, -1.49764756152e-10, 9.21625066157e-07
1515575452698151111, 0.265332937241, 0.00425265790822, -3.28802594379e-06, 0.14928913153, 2.67151140435e-06, -1.20078003096e-10, 8.3356303604e-07
1515575452704777002, 0.271961927414, 0.00376438837984, -3.29017636851e-06, 0.149773168283, 2.38905308233e-06, -9.12318554036e-11, 7.44956279637e-07
