time, local_time, values[0], values[1], values[2], values[3], values[4], values[5], values[6], values[7], values[8], values[9], values[10], values[11], values[12]
1515575452447299003, 0.0278031826019, 0.2, 8.66280746223e-17, 2.21969886457e-20, -4.49485293025e-16, -2.42188268495e-21, -1.93782940902e-16, 8.72912889287e-20, 5.41232510226e-05, 0.360145110253, 0.27832549637, 5.32955796842e-05, -0.63847060753, -3.27347652055e-05
1515575452461100101, 0.0416560173035, 0.2, 1.17412372263e-05, -1.39827265377e-06, -1.96865705428e-08, 7.32785559734e-10, 5.31768608366e-11, -1.67341526108e-09, 4.96661909894e-05, 0.360113289469, 0.278347443214, 5.3293788943e-05, -0.638460733159, -3.71920226233e-05
1515575452469348907, 0.0498580932617, 0.2, 1.52241510168e-05, -1.81306099287e-06, -2.46427811649e-08, 9.56514479024e-10, 6.94089601404e-11, -2.18421480176e-09, 4.83440816995e-05, 0.360103849634, 0.278353953902, 5.3293251699e-05, -0.638457803883, -3.85142033059e-05
1515575452485761880, 0.066269159317, 0.2, 2.18625167094e-05, -2.6041053711e-06, -8.05208016175e-05, 1.3894391205e-09, 1.00926945607e-10, -3.17672600935e-09, 4.58227427123e-05, 0.360143678101, 0.278336905132, 5.33078029313e-05, -0.638480583334, -4.10513355033e-05
1515575452499327898, 0.0798351764679, 0.2, 2.48250783808e-05, -2.96536243976e-06, -0.000359893593737, 1.56419158005e-09, 1.15485816793e-10, -3.64449816876e-09, 4.46712831055e-05, 0.360336363916, 0.278240172756, 5.33614804754e-05, -0.638576536659, -4.22572172561e-05
1515575452520437955, 0.101003170013, 0.2, 2.32884047833e-05, -3.76649308261e-06, -0.00381844304925, -9.41091669255e-10, 1.48131377742e-10, -5.70505290448e-09, 4.21135950624e-05, 0.362829267406, 0.276967672521, 5.40392010804e-05, -0.639796939636, -4.54957228234e-05
1515575452547262907, 0.127771139145, 0.2, -8.44327569173e-07, -4.09537470146e-06, -0.00784341079262, -1.03741984139e-08, 1.62784652867e-10, -9.49012675326e-09, 4.10510239946e-05, 0.365805779993, 0.275433676651, 5.48501005621e-05, -0.641239456214, -4.73705695977e-05
1515575452553915977, 0.1344602108, 0.2, -5.47434865588e-05, -4.30948876699e-06, -0.0125880607242, -3.0308423593e-08, 1.74526736996e-10, -1.67108756851e-08, 4.03382968835e-05, 0.369416508927, 0.273555323546, 5.58400881007e-05, -0.64297183193, -4.90727768458e-05
1515575452562561035, 0.143079042435, 0.2, -9.56013425299e-05, -4.3769389868e-06, -0.0151798901322, -4.5305002479e-08, 1.79572602023e-10, -2.19594645984e-08, 4.01001692201e-05, 0.37144054525, 0.272494583478, 5.63984335489e-05, -0.643935128138, -4.98680133729e-05
1515575452569658994, 0.150168180466, 0.2, -0.000146551090805, -4.42095739996e-06, -0.0178785573227, -6.40451802218e-08, 1.84236594591e-10, -2.84160689696e-08, 3.99311150651e-05, 0.373590262806, 0.271362256985, 5.69943967454e-05, -0.644952519158, -5.06310221632e-05
1515575452575439929, 0.155972003937, 0.2, -0.000207605776553, -4.44373127704e-06, -0.0206564933461, -8.66326387299e-08, 1.8861681662e-10, -3.61003508822e-08, 3.98238165283e-05, 0.375850772954, 0.270165687024, 5.76246916142e-05, -0.646016459308, -5.13657886489e-05
1515575452580471038, 0.160989046097, 0.2, -0.00027848008795, -4.44683024084e-06, -0.0234919051183, -1.1308420567e-07, 1.92779507054e-10, -4.50009750869e-08, 3.97732646633e-05, 0.378210788496, 0.268910548672, 5.82871086827e-05, -0.647121336464, -5.20750873779e-05
1515575452587697982, 0.16822218895, 0.2, -0.000358835142584, -4.43165044671e-06, -0.0263654217367, -1.43416070703e-07, 1.96776015566e-10, -5.51059113407e-08, 3.97750290614e-05, 0.380660730871, 0.267601699879, 5.89798981797e-05, -0.648262430015, -5.27615745972e-05
