time, local_time, values[0], values[1], values[2], values[3], values[4], values[5], values[6], values[7], values[8], values[9], values[10], values[11], values[12]
1515578764302870988, 0.0412230491638, 0.2, 1.53642245607e-16, -9.42745615982e-21, -5.31209891757e-16, 7.25803685847e-21, -1.93782940149e-16, 0.0, 5.41089207613e-05, 0.360179177057, 0.278293542027, 5.32886370229e-05, -0.63847271999, -3.27345790141e-05
1515578764325093984, 0.0634500980377, 0.2, 1.07696130843e-05, -1.47560884661e-06, -1.03121781392e-08, 8.14590070289e-10, 4.51705513532e-06, 2.90574772272e-07, 4.94051943519e-05, 0.360152695896, 0.278311754054, 5.3287501509e-05, -0.638459933403, -3.71466646606e-05
1515578764331056118, 0.069412946701, 0.2, 1.58586088327e-05, -2.17310706319e-06, -8.58426114866e-06, 1.21320773709e-09, 6.76434573982e-06, 4.35138424406e-07, 4.71818890041e-05, 0.360146406074, 0.278317175434, 5.32886330988e-05, -0.638456817481, -3.92265760042e-05
1515578764338366985, 0.0767269134521, 0.2, 1.7718776916e-05, -2.42804900442e-06, -1.14203464015e-05, 1.35889537082e-09, 7.57638977603e-06, 4.87375636269e-07, 4.63692645522e-05, 0.360143887372, 0.278319270149, 5.32889903066e-05, -0.638455581381, -3.9987333441e-05
1515578764345531940, 0.0838890075684, 0.2, 2.00138057549e-05, -2.75159838356e-06, -0.000337025332537, 1.52373408196e-09, 8.64674776931e-06, 5.56220684345e-07, 4.53379248328e-05, 0.360372226786, 0.278203902628, 5.33518381603e-05, -0.638567482826, -4.10129099313e-05
1515578764359666109, 0.098030090332, 0.2, 2.12256530599e-05, -2.98982633339e-06, -0.00101661753709, 1.47368749387e-09, 9.42401817701e-06, 6.06153851008e-07, 4.45782905258e-05, 0.360857797146, 0.277956878172, 5.34837670645e-05, -0.63880525139, -4.18549304041e-05
1515578764375078916, 0.11344408989, 0.2, 1.620597507e-05, -3.35428388392e-06, -0.00380345410905, -1.05240114841e-09, 1.06158925866e-05, 6.8186297048e-07, 4.34121784365e-05, 0.362878015267, 0.276923301575, 5.40315681329e-05, -0.639790700918, -4.3493601645e-05
1515578764387258052, 0.125613927841, 0.2, 6.83705682323e-06, -3.49676117574e-06, -0.00571466848696, -4.6845445013e-09, 1.10935866516e-05, 7.11295715834e-07, 4.2951960442e-05, 0.364283426117, 0.276200332792, 5.44135971911e-05, -0.640472665236, -4.43057005573e-05
1515578764401976108, 0.140341997147, 0.2, -3.16098196498e-05, -3.70722909703e-06, -0.0101246998915, -1.88962657951e-08, 1.18500559243e-05, 7.54998586804e-07, 4.22575536022e-05, 0.367590619204, 0.274487498795, 5.5316731034e-05, -0.642066267761, -4.58546680623e-05
1515578764415060043, 0.153419971466, 0.2, -0.000103720312884, -3.82002754525e-06, -0.0151724755324, -4.52319819525e-08, 1.23625569563e-05, 7.78939339509e-07, 4.18543313397e-05, 0.371498223799, 0.272444246662, 5.63922322982e-05, -0.643930107644, -4.72983384713e-05
1515578764429291963, 0.167661905289, 0.2, -0.000214697165453, -3.85376920242e-06, -0.0206507922081, -8.60980065428e-08, 1.26933645404e-05, 7.86420940439e-07, 4.16789468699e-05, 0.375906899483, 0.270116254508, 5.76182905172e-05, -0.646010460304, -4.86735270134e-05
1515578764443310976, 0.181668043137, 0.2, -0.000363988513859, -3.82170105958e-06, -0.0263609111335, -1.42151070443e-07, 1.28830420714e-05, 7.79973523786e-07, 4.16882812509e-05, 0.380712332419, 0.267555131965, 5.89728606752e-05, -0.648254580969, -4.99983543665e-05
1515578764456903934, 0.195326089859, 0.2, -0.000451609462993, -3.78430498396e-06, -0.0292542318396, -1.75721704418e-07, 1.29341535679e-05, 7.72213412626e-07, 4.1750542433e-05, 0.38323809157, 0.266200507647, 5.96936248392e-05, -0.649425664669, -5.06482324312e-05
1515578764466586112, 0.204941987991, 0.2, -0.000647885876233, -3.67386813026e-06, -0.0350307960414, -2.52997784883e-07, 1.2965054471e-05, 7.49051890645e-07, 4.19773517835e-05, 0.388484717052, 0.263370972436, 6.12131992247e-05, -0.651842724002, -5.19259783413e-05
1515578764486443996, 0.224801063538, 0.2, -0.000865808961581, -3.52471740842e-06, -0.040699763787, -3.42636753265e-07, 1.29184041921e-05, 7.17290973179e-07, 4.23076872276e-05, 0.393935691826, 0.260412181325, 6.28278222233e-05, -0.654334954285, -5.31972361844e-05
1515578764500654935, 0.239013910294, 0.2, -0.00109784583202, -3.34681815588e-06, -0.0461705014388, -4.43290769055e-07, 1.28119981663e-05, 6.78589068689e-07, 4.27147265064e-05, 0.399534462829, 0.257356397458, 6.45290406585e-05, -0.656878047799, -5.44794221549e-05
