time, local_time, values[0], values[1], values[2], values[3], values[4], values[5], values[6], values[7], values[8], values[9], values[10], values[11], values[12]
1515576001536855936, 0.0247089862823, 0.2, 1.07059224305e-16, -5.76121898034e-21, 4.08622993659e-17, 1.12150978512e-21, 1.05285562148e-17, -1.24701841327e-20, 5.41010581257e-05, 0.36002064527, 0.278353942678, 5.32528306544e-05, -0.638374588855, -3.27023599615e-05
1515576001543890953, 0.0320031642914, 0.2, 4.42678761332e-06, -4.76244913668e-07, -8.10644126593e-09, 1.0715010152e-10, 1.81562323859e-11, -5.64072187537e-10, 5.25831893732e-05, 0.360008649587, 0.278362217168, 5.32523338427e-05, -0.638370867515, -3.4220282844e-05
1515576001560708999, 0.0485551357269, 0.2, 1.18516431569e-05, -1.27503620264e-06, -2.13084215107e-08, 2.87969259767e-10, 4.87934775631e-11, -1.51589462455e-09, 5.00373798504e-05, 0.359988529636, 0.27837609586, 5.3251499486e-05, -0.63836462601, -3.6766188595e-05
1515576001571604013, 0.0594501495361, 0.2, 1.53875167459e-05, -1.65544443246e-06, -8.59847289933e-06, 3.7535210199e-10, 6.35998787316e-11, -1.97592510707e-09, 4.88250192741e-05, 0.359985103462, 0.27837956891, 5.32527583232e-05, -0.638364672768, -3.79802649903e-05
1515576001577147960, 0.064994096756, 0.2, 1.86790599698e-05, -2.00996797868e-06, -8.05308537074e-05, 4.55832601283e-10, 7.74762157569e-11, -2.40758245727e-09, 4.76951695205e-05, 0.36002784028, 0.278359400624, 5.32662986825e-05, -0.63838724119, -3.91241294121e-05
1515576001594010114, 0.0818560123444, 0.2, 2.34024514004e-05, -2.58389803107e-06, -0.00103663133412, 3.69755889049e-10, 9.99660298911e-11, -3.18354911133e-09, 4.5865818772e-05, 0.360701909125, 0.278018129628, 5.34512398737e-05, -0.638720038853, -4.11397477541e-05
1515576001601306915, 0.0891590118408, 0.2, 2.32365349582e-05, -2.80021824804e-06, -0.00220988272871, -3.55945586293e-10, 1.08489450244e-10, -3.71965440093e-09, 4.51753292156e-05, 0.361545936211, 0.277587547848, 5.36803004977e-05, -0.639133484083, -4.20602345644e-05
1515576001634027957, 0.121873140335, 0.2, -4.84801729523e-06, -3.26871654078e-06, -0.00784451537059, -1.18337710442e-08, 1.28282940372e-10, -8.33869940776e-09, 4.36653178246e-05, 0.365691342988, 0.275454687724, 5.48079145736e-05, -0.641146030541, -4.47000059014e-05
1515576001643646001, 0.131489992142, 0.2, -5.88181441195e-05, -3.45489831893e-06, -0.0125898170318, -3.1840789869e-08, 1.38327114658e-10, -1.54935370655e-08, 4.30421281511e-05, 0.369301746468, 0.273576236425, 5.5797152975e-05, -0.642877982619, -4.63117824743e-05
1515576001679167985, 0.167011976242, 0.2, -0.000281333428546, -3.57906281254e-06, -0.0234949488478, -1.14224996154e-07, 1.5459662802e-10, -4.35507455171e-08, 4.25240370568e-05, 0.378091361093, 0.268933914147, 5.824168781e-05, -0.647025274809, -4.92645841585e-05
