time, local_time, values[0], values[1], values[2], values[3], values[4], values[5], values[6], values[7], values[8], values[9], values[10], values[11], values[12]
1516608982325530052, 0.0123031139374, 0.1, -2.41087566274e-16, 1.39416567269e-20, 4.08622993659e-17, -4.33000961491e-20, 1.05285571964e-17, 0.0, 2.70265533973e-05, 0.179875982112, 0.139196576836, 2.65842917407e-05, -0.319072559402, -1.63208766153e-05
1516608982326349020, 0.0131230354309, 0.1, 5.15218932459e-06, -3.93087761744e-07, -1.50214394225e-08, -2.53154873032e-10, 1.37044992984e-11, -4.00080346188e-10, 2.57743885124e-05, 0.179862427025, 0.139206692969, 2.65841662783e-05, -0.319069120328, -1.75730649081e-05
1516608982333987951, 0.0207581520081, 0.1, 1.01339869024e-05, -7.73170383118e-07, -2.81051112684e-08, -5.01946527274e-10, 2.7173320657e-11, -7.932810265e-10, 2.45636753887e-05, 0.179849319809, 0.139216474866, 2.65840492351e-05, -0.319065794892, -1.87838088991e-05
1516608982341176033, 0.0279450416565, 0.1, 1.49520859709e-05, -1.14075881514e-06, -3.95037138762e-08, -7.46496431256e-10, 4.04126934684e-11, -1.17979208186e-09, 2.33927839293e-05, 0.179836642928, 0.13922593562, 2.65839402417e-05, -0.319062578654, -1.99547383028e-05
1516608982349610090, 0.0363869667053, 0.1, 1.96095503122e-05, -1.49608943165e-06, -5.5399841858e-06, -9.86584271537e-10, 5.34102366268e-11, -1.55924820285e-09, 2.22609589925e-05, 0.179826358506, 0.139234077033, 2.65843685939e-05, -0.319060435535, -2.10871392057e-05
1516608982359847068, 0.0466630458832, 0.1, 2.40675929271e-05, -1.83632200577e-06, -5.16212208096e-05, -1.22000992267e-09, 6.60169329516e-11, -1.92746897485e-09, 2.11772450171e-05, 0.179831160489, 0.13923440492, 2.65887211717e-05, -0.319065565301, -2.21753643994e-05
1516608982365917921, 0.0527060031891, 0.1, 2.81740395955e-05, -2.15183628738e-06, -0.000230606418502, -1.44807498614e-09, 7.78026957747e-11, -2.27506867155e-09, 2.01722709627e-05, 0.179884581671, 0.139209731524, 2.66059272392e-05, -0.319094312988, -2.31977402413e-05
1516608982373454093, 0.0602250099182, 0.1, 3.15832404301e-05, -2.42888104661e-06, -0.000664107688952, -1.71859290243e-09, 8.81852308083e-11, -2.60539974797e-09, 1.92897577057e-05, 0.180031201195, 0.139137105452, 2.66478531418e-05, -0.319168306355, -2.41224400479e-05
1516608982382214069, 0.0689890384674, 0.1, 3.37147501024e-05, -2.65966933923e-06, -0.00141590802543, -2.19542329585e-09, 9.68562984795e-11, -2.96859636473e-09, 1.85542806643e-05, 0.180295541492, 0.1390036187, 2.67210371098e-05, -0.319299159824, -2.49314219242e-05
1516608982390957117, 0.077733039856, 0.1, 3.39086713375e-05, -2.84808385094e-06, -0.00244758618618, -3.13451724804e-09, 1.04009823807e-10, -3.45800188222e-09, 1.79531335224e-05, 0.180665760477, 0.138814819104, 2.68223562597e-05, -0.319480579152, -2.56342226857e-05
