time, local_time, values[0], values[1], values[2], values[3], values[4], values[5]
1516610717837366104, 0.00590896606445, -0.000239668775314, 2.23586292747e-05, 8.91328439334e-07, 8.60310349989e-09, -1.25038014068e-09, 3.56900612878e-08
1516610717842179059, 0.0107200145721, -0.000231885072667, 2.16320961262e-05, 7.74504672426e-07, 8.45759210518e-09, -1.22951210557e-09, 3.50948966496e-08
1516610717850503921, 0.0190529823303, -0.000224268311676, 2.09211538094e-05, 6.72881541819e-07, 8.31332070656e-09, -1.20879100769e-09, 3.45038730952e-08
1516610717860575914, 0.0291299819946, -0.000216767789907, 2.0222480584e-05, 5.91513909258e-07, 8.16934930535e-09, -1.18809224043e-09, 3.39128515311e-08
1516610717868993043, 0.0375418663025, -0.000209298686823, 1.95255138226e-05, 0.000109107011873, 8.0200394654e-09, -1.16656405716e-09, 3.32986960985e-08
1516610717875070095, 0.0436208248138, -0.000201069502679, 1.87575428924e-05, 0.000970080875214, 7.82608050182e-09, -1.13838175388e-09, 3.24951461985e-08
1516610717883266925, 0.0518238544464, -0.000189938707064, 1.77191596542e-05, 0.00406188669244, 7.48992033179e-09, -1.08915395453e-09, 3.10908855677e-08
1516610717890881061, 0.0594279766083, -0.000173768703157, 1.62110699869e-05, 0.0107599888714, 6.9173295243e-09, -1.00496863609e-09, 2.86902102055e-08
1516610717899152994, 0.0677089691162, -0.000153051465465, 1.42789638914e-05, 0.0206636270109, 6.13126367644e-09, -8.89482459909e-10, 2.5396392988e-08
1516610717909774065, 0.0783228874207, -0.000107074686758, 1.22234545241e-05, 0.0315333211396, 1.89002351191e-08, -7.65789778812e-10, 2.66195681606e-08
1516610717915116071, 0.0836780071259, -7.95712330117e-05, 1.03369831777e-05, 0.0412444632014, 2.2261734882e-08, -6.52596865436e-10, 2.48335793049e-08
1516610717923060894, 0.0916109085083, -5.63290101904e-05, 8.69407876193e-06, 0.0491778734523, 2.47978036855e-08, -5.56424073483e-10, 2.32042806505e-08
1516610717932627916, 0.101188898087, -3.67265922211e-05, 7.23096761354e-06, 0.0558103988388, 2.64432523948e-08, -4.72648586936e-10, 2.15882950838e-08
1516610717940152883, 0.108700037003, -2.04776055391e-05, 5.89517860189e-06, 0.0616437704245, 2.70147541037e-08, -3.96961269411e-10, 1.98091154562e-08
1516610717946336030, 0.114884853363, 0.000437960052094, 4.620644305e-06, 0.06666847731, 2.80141213129e-07, -3.51515427877e-10, 1.0566709566e-07
1516610717954720973, 0.123266935349, 0.000473010070892, 3.53879337123e-06, 0.0711592530961, 2.93142040613e-07, -2.92323637519e-10, 1.08593934975e-07
1516610717962774991, 0.131333827972, 0.000493649054893, 2.57591487575e-06, 0.0750291956883, 2.98761656463e-07, -2.39565756122e-10, 1.09147190498e-07
1516610717971427917, 0.13997387886, 0.000496247974418, 1.71036630565e-06, 0.0783837905448, 2.94823963883e-07, -1.9177154309e-10, 1.06538329311e-07
1516610717978106021, 0.146646976471, 0.000476673011126, 9.2876573542e-07, 0.0813131748368, 2.78923035797e-07, -1.47764411818e-10, 9.99092264621e-08
1516610717986929893, 0.155483961105, 0.000432621762943, 2.26493370298e-07, 0.0838729505077, 2.49739257375e-07, -1.07016451256e-10, 8.87915321164e-08
1516610717996345996, 0.164903879166, 0.00123659159482, -5.25589070459e-07, 0.0858085224807, 7.10169110458e-07, -1.14462384015e-10, 2.42515548517e-07
1516610718003762960, 0.17231798172, 0.00117270340812, -1.0790479242e-06, 0.0877457009047, 6.71497286246e-07, -8.09504130395e-11, 2.28590076028e-07
1516610718012156009, 0.180701971054, 0.00109167627891, -1.56304786654e-06, 0.0894358032337, 6.2362781228e-07, -5.01943486775e-11, 2.11633114337e-07
1516610718020117044, 0.188674926758, 0.000993300747595, -1.98416423197e-06, 0.0909131783136, 5.66393421746e-07, -2.17683648884e-11, 1.91574904999e-07
1516610718028039932, 0.196588039398, 0.000877874042947, -2.34890310241e-06, 0.0922058664311, 4.99903572262e-07, 4.69319028085e-12, 1.68439942595e-07
1516610718035372972, 0.203920841217, 0.00207737574826, -2.8580446335e-06, 0.0928742775569, 1.20972945951e-06, -4.03482247613e-11, 3.98936711458e-07
1516610718042254924, 0.21079993248, 0.00195072644176, -3.12801055382e-06, 0.0938613279052, 1.13879409569e-06, -1.82343584676e-11, 3.7511007881e-07
1516610718051887989, 0.220438957214, 0.00181026343612, -3.35530472521e-06, 0.0947277815207, 1.06020458241e-06, 2.55678811456e-12, 3.48782689378e-07
1516610718058958053, 0.227527856827, 0.00165357495803, -3.54311360326e-06, 0.0954907237203, 9.72527895535e-07, 2.23782103959e-11, 3.1946306655e-07
1516610718067255973, 0.235811948776, 0.00147940814061, -3.6944027486e-06, 0.096164617302, 8.74953322971e-07, 4.1463610323e-11, 2.86863902498e-07
