time, local_time, values[0], values[1], values[2], values[3], values[4], values[5], values[6], values[7], values[8], values[9], values[10], values[11], values[12]
1516610674786994934, 0.0097119808197, 0.1, -9.80695185696e-18, -4.05280984312e-20, -1.22586898098e-16, 2.92338441377e-20, -9.16271915187e-17, 4.98807365307e-20, 2.70269305489e-05, 0.179899102439, 0.139186487918, 2.65902687999e-05, -0.319085590811, -1.63266340311e-05
1516610674789558887, 0.01229596138, 0.1, 5.44919905895e-06, -4.22946917011e-07, -1.66257043253e-08, -2.52574485968e-10, 1.43809159368e-11, -4.17693933716e-10, 2.5679630427e-05, 0.179884766145, 0.139197187316, 2.65901161624e-05, -0.319081953786, -1.76739442096e-05
1516610674797610998, 0.0203320980072, 0.1, 1.07180081745e-05, -8.31887746556e-07, -3.11070669332e-08, -5.00785020721e-10, 2.85144184234e-11, -8.28195978915e-10, 2.43769748803e-05, 0.179870903977, 0.139207532879, 2.65899728217e-05, -0.319078437056, -1.89766179793e-05
1516610674806173086, 0.0288999080658, 0.1, 1.5811377781e-05, -1.22720687737e-06, -4.37232984284e-08, -7.44694672106e-10, 4.24034652527e-11, -1.23160742136e-09, 2.311773654e-05, 0.179857502993, 0.139217534272, 2.65898384807e-05, -0.319075037345, -2.023588238e-05
1516610674813452005, 0.0361700057983, 0.1, 2.07273067244e-05, -1.60875147323e-06, -5.54526716144e-06, -9.83940089171e-10, 5.60277017741e-11, -1.62730781355e-09, 2.19023995585e-05, 0.179846538766, 0.139226183274, 2.65902428213e-05, -0.319072722003, -2.14517845204e-05
1516610674822772979, 0.0455219745636, 0.1, 2.54196156738e-05, -1.97305850423e-06, -5.16274594911e-05, -1.21618843619e-09, 6.92214519078e-11, -2.01068870297e-09, 2.07419917208e-05, 0.179850725416, 0.139226970748, 2.65945740971e-05, -0.319077696015, -2.26166950147e-05
1516610674829497098, 0.0522119998932, 0.1, 2.97304899675e-05, -2.30990455338e-06, -0.000230613607971, -1.44282330935e-09, 8.15351169813e-11, -2.37189592056e-09, 1.96690628247e-05, 0.179903612468, 0.139202696748, 2.66117645808e-05, -0.319106308963, -2.37070219827e-05
1516610674837249040, 0.0599660873413, 0.1, 3.33134050124e-05, -2.60523494057e-06, -0.000664115967002, -1.71198391803e-09, 9.23739827195e-11, -2.7139803123e-09, 1.87282995169e-05, 0.180049783868, 0.139130406738, 2.66536843237e-05, -0.319180190261, -2.46899761987e-05
1516610674845191001, 0.0679149627686, 0.1, 3.5590993069e-05, -2.85136986236e-06, -0.00141591761247, -2.18784406139e-09, 1.01427600168e-10, -3.087094843e-09, 1.79439338885e-05, 0.180313755254, 0.138997198043, 2.67268734315e-05, -0.319310952874, -2.55478607481e-05
1516610674857033967, 0.0797960758209, 0.1, 3.59075923249e-05, -3.05259020838e-06, -0.00244759725617, -3.12643212359e-09, 1.08901860831e-10, -3.58487934025e-09, 1.73019880346e-05, 0.180683672596, 0.138808627294, 2.68282078413e-05, -0.3194922994, -2.62914830348e-05
