time, local_time, values[0], values[1], values[2], values[3], values[4], values[5], values[6], values[7], values[8], values[9], values[10], values[11], values[12]
1516610835107642889, 0.00998783111572, 0.1, -1.02155748415e-16, 5.210046584e-20, -4.08622993659e-17, 7.24437476098e-20, 1.05285551874e-17, 6.85860127297e-20, 2.70266699093e-05, 0.179898568513, 0.139186243926, 2.6590054716e-05, -0.319084812892, -1.63265484585e-05
1516610835110632896, 0.0129749774933, 0.1, 5.69231245933e-06, -4.36817161262e-07, -1.9233026877e-08, -2.69940274673e-10, 1.46717091533e-11, -4.2644061685e-10, 2.56351873917e-05, 0.179883593326, 0.139197420353, 2.65899044625e-05, -0.319081014, -1.77180360341e-05
1516610835118876934, 0.0212309360504, 0.1, 1.11998906824e-05, -8.59453378312e-07, -3.59829568916e-08, -5.3530755365e-10, 2.90958230167e-11, -8.45683741767e-10, 2.42889087267e-05, 0.179869103586, 0.139208234481, 2.65897635133e-05, -0.31907733826, -1.90643281698e-05
1516610835126513957, 0.0288639068604, 0.1, 1.65273014374e-05, -1.26825920347e-06, -5.05732598564e-08, -7.96153929039e-10, 4.32738674738e-11, -1.25780845598e-09, 2.29867141507e-05, 0.179855087377, 0.139218695212, 2.65896315957e-05, -0.319073782657, -2.03665443159e-05
1516610835136131048, 0.0385029315948, 0.1, 2.1671974377e-05, -1.6630398683e-06, -5.55383803699e-06, -1.0520784599e-09, 5.71855879671e-11, -1.66216203138e-09, 2.17292212055e-05, 0.179843521771, 0.139227793205, 2.65900383919e-05, -0.319071314923, -2.16245981933e-05
1516610835143055915, 0.0454139709473, 0.1, 2.6585030247e-05, -2.04016467983e-06, -5.16375551798e-05, -1.30053316279e-09, 7.06598887385e-11, -2.0540066205e-09, 2.05279914991e-05, 0.17984712794, 0.139229014052, 2.65943720771e-05, -0.319076141824, -2.28303265774e-05
1516610835150926113, 0.0532929897308, 0.1, 3.11013930779e-05, -2.3889697487e-06, -0.000230625138485, -1.54232852329e-09, 8.32393875859e-11, -2.42315587989e-09, 1.94169774615e-05, 0.179899474372, 0.139205143676, 2.66115647107e-05, -0.319104617773, -2.39587349296e-05
1516610835159094095, 0.0614528656006, 0.1, 3.48647283715e-05, -2.69480814668e-06, -0.000664128989754, -1.82483883466e-09, 9.43119382208e-11, -2.77221858827e-09, 1.844275183e-05, 0.180045170645, 0.139133208493, 2.66534860653e-05, -0.319178378767, -2.49751479151e-05
1516610835166759967, 0.0691168308258, 0.1, 3.72922635004e-05, -2.9496727739e-06, -0.00141593228504, -2.31182564966e-09, 1.03558770382e-10, -3.15110622238e-09, 1.76305894872e-05, 0.180308746539, 0.139000295383, 2.67266761033e-05, -0.31930904147, -2.58608258314e-05
1516610835175246953, 0.077605009079, 0.1, 3.77310806939e-05, -3.15800542697e-06, -0.00244761371924, -3.25954327576e-09, 1.11190991514e-10, -3.65358187015e-09, 1.69660010558e-05, 0.180678340873, 0.138811966361, 2.68280108534e-05, -0.319490306713, -2.66270875737e-05
