time, local_time, values[0], values[1], values[2], values[3], values[4], values[5]
1516610771420130968, 0.00224804878235, -0.000244964970534, 2.45255345043e-05, 1.0403320023e-06, -7.83263691026e-10, -1.32896466984e-09, 3.97208907274e-08
1516610771427361965, 0.00949597358704, -0.000236860630507, 2.37138736876e-05, 9.04122160326e-07, -7.7340813749e-10, -1.3062852828e-09, 3.90434750273e-08
1516610771437223911, 0.0193500518799, -0.000228922093726, 2.29201505032e-05, 7.91879462731e-07, -7.6308431524e-10, -1.28374419088e-09, 3.83709688384e-08
1516610771442419052, 0.0245490074158, -0.000213583054995, 2.13840348037e-05, 5.99784703116e-07, -7.42048747403e-10, -1.23935916086e-09, 3.70448545987e-08
1516610771451010942, 0.0331609249115, -0.000206081805104, 2.06327224291e-05, 0.000109112898548, -7.3062424416e-10, -1.21658030779e-09, 3.63640331727e-08
1516610771458714962, 0.0408499240875, -0.000206081936982, 2.06331573931e-05, 0.000109115402209, -7.30429752569e-10, -1.21657004322e-09, 3.63641629155e-08
1516610771468389987, 0.0505180358887, -0.000186792987856, 1.87019684046e-05, 0.00406190335026, -6.76825647486e-10, -1.13537276455e-09, 3.39416812467e-08
1516610771474345922, 0.0564820766449, -0.000171088841843, 1.71303896973e-05, 0.0107600222237, -6.11881111504e-10, -1.04843103643e-09, 3.13505875557e-08
1516610771483663082, 0.0658049583435, -0.000151256460828, 1.51458933588e-05, 0.0206636872971, -5.22419503397e-10, -9.30005197852e-10, 2.78214266901e-08
1516610771491897106, 0.0740361213684, -0.000130396205064, 1.3058364591e-05, 0.0315408264987, -4.29247134671e-10, -8.02573563163e-10, 2.40216716936e-08
1516610771498203039, 0.0803360939026, -7.93317875603e-05, 1.30516928653e-05, 0.0315245227496, 2.86132610095e-08, -8.05068095522e-10, 3.42406884113e-08
1516610771507190942, 0.0893330574036, -4.46403300506e-05, 1.11493415134e-05, 0.0412329207553, 3.76173869203e-08, -6.90664886394e-10, 3.39406253554e-08
1516610771516026973, 0.0981619358063, -1.54870272777e-05, 9.50547642364e-06, 0.0491640243895, 4.49210635581e-08, -5.94019083922e-10, 3.35794928416e-08
1516610771523947000, 0.106112003326, 9.40517498038e-06, 8.04224385776e-06, 0.0557944878129, 5.08128509926e-08, -5.09984193764e-10, 3.31024570538e-08
1516610771530077934, 0.112205982208, 3.07373744972e-05, 6.69214735211e-06, 0.061625933205, 5.53147279048e-08, -4.33607899586e-10, 3.23692709943e-08
1516610771539419889, 0.121555089951, 4.71433627171e-05, 5.44743288757e-06, 0.0667967052986, 5.76116228927e-08, -3.63847285634e-10, 3.1066034168e-08
1516610771547626972, 0.129765033722, 0.000739123123831, 4.221502673e-06, 0.0710680508175, 4.46525715622e-07, -3.35262401174e-10, 1.62606188919e-07
1516610771554809093, 0.136945009232, 0.000774020090886, 3.20248094369e-06, 0.0749331288377, 4.60835576255e-07, -2.80863360347e-10, 1.65845462343e-07
1516610771562714099, 0.144839048386, 0.000790222716968, 2.2860501555e-06, 0.0782831449348, 4.65160366626e-07, -2.31675068019e-10, 1.65831003058e-07
1516610771571552038, 0.153692007065, 0.000762902729887, 7.23390411975e-07, 0.0837604927642, 4.41652109716e-07, -1.45833789489e-10, 1.55198884079e-07
1516610771578254938, 0.160387992859, 0.000719149738552, 6.55552223147e-08, 0.0859845377846, 4.13644079726e-07, -1.08292597112e-10, 1.44495890406e-07
1516610771587009906, 0.169148921967, 0.00165773001497, -6.96423473941e-08, 0.0856613484075, 9.57851753132e-07, -1.5578383028e-10, 3.2466079368e-07
1516610771595171928, 0.17730307579, 0.0018227187497, -6.86162424748e-07, 0.087518981589, 1.05330258291e-06, -1.32868382963e-10, 3.54294723706e-07
1516610771602698087, 0.184828996658, 0.00197761455674, -1.23610158953e-06, 0.0891268306733, 1.14444549935e-06, -1.13068998608e-10, 3.82343894501e-07
1516610771611126899, 0.193254947662, 0.00190020896889, -1.69272888032e-06, 0.0905978155139, 1.09994747626e-06, -8.4683260404e-11, 3.66781129695e-07
1516610771618870019, 0.20100402832, 0.00180213867583, -2.09136877501e-06, 0.0918854043935, 1.04417151478e-06, -5.81775738695e-11, 3.47541253814e-07
1516610771625986099, 0.20811009407, 0.00168452740675, -2.43660063962e-06, 0.0930134847634, 9.77691208317e-07, -3.33186256363e-11, 3.24801984569e-07
1516610771635041952, 0.217164993286, 0.00154852759741, -2.73279834559e-06, 0.0940033022412, 9.01081286545e-07, -9.89230919402e-12, 2.98740112466e-07
1516610771643043041, 0.225172996521, 0.00257933486411, -3.15574826765e-06, 0.0944535242728, 1.52459900643e-06, -4.8542392328e-11, 4.96075639505e-07
1516610771651516914, 0.233650922775, 0.00241965794551, -3.36721875082e-06, 0.095217798238, 1.43628770396e-06, -2.80496181837e-11, 4.66965495259e-07
1516610771658715963, 0.240849971771, 0.00224381114959, -3.54080041504e-06, 0.0958926814058, 1.33884147403e-06, -8.43014547058e-12, 4.34890835843e-07
1516610771667469024, 0.249598026276, 0.00205333149131, -3.67987806525e-06, 0.096489953032, 1.23301030946e-06, 1.04047881422e-11, 4.00078770284e-07
1516610771676403999, 0.25853395462, 0.00185100630945, -3.78813600842e-06, 0.0970194769174, 1.12025515031e-06, 2.84983703303e-11, 3.62991423431e-07
1516610771682909965, 0.265049934387, 0.00290535593808, -4.05491731306e-06, 0.0970353241731, 1.78446137354e-06, -2.04481986898e-11, 5.69766535592e-07
1516610771692315101, 0.274449110031, 0.00269297338488, -4.11264333969e-06, 0.0974531804164, 1.66695280937e-06, -4.2517100951e-12, 5.32142230735e-07
1516610771699798107, 0.281940937042, 0.00222635466865, -4.15525443071e-06, 0.0981668440377, 1.40618146144e-06, 2.74901768016e-11, 4.48429867815e-07
1516610771707343101, 0.289479970932, 0.00196882590807, -4.14242356124e-06, 0.0984749771763, 1.26073465093e-06, 4.3420433915e-11, 4.01595878818e-07
1516610771716018915, 0.298151016235, 0.00170108265705, -4.11138480802e-06, 0.0987552679937, 1.10840963226e-06, 5.92311755199e-11, 3.52433821892e-07
1516610771722537040, 0.304657936096, 0.00142727242683, -4.06527150684e-06, 0.0990105003831, 9.51408801769e-07, 7.48590633926e-11, 3.01632601248e-07
1516610771729835987, 0.31195807457, 0.00300207084962, -4.30071803818e-06, 0.0984425600029, 1.96461525836e-06, -1.03170805232e-11, 6.17051605854e-07
1516610771738821029, 0.320944070816, 0.00272701462316, -4.24211185503e-06, 0.0986769560618, 1.80819954832e-06, 4.58177940033e-12, 5.68046175955e-07
1516610771747575044, 0.329704999924, 0.0024460569422, -4.17120978591e-06, 0.0988928116922, 1.64694656884e-06, 1.94110838514e-11, 5.17363098842e-07
1516610771755594968, 0.337718963623, 0.00215944441955, -4.08926773232e-06, 0.0990926814928, 1.48085822185e-06, 3.42197381542e-11, 4.64985328193e-07
1516610771761940956, 0.344064950943, 0.00157254746422, -3.89776211165e-06, 0.0994523405913, 1.13547856269e-06, 6.38772368333e-11, 3.55479783326e-07
1516610771771065950, 0.353188991547, 0.00157254746422, -3.89776211165e-06, 0.0994523405913, 1.13547856269e-06, 6.38772368333e-11, 3.55479783326e-07
1516610771779364109, 0.361494064331, 0.00287903044704, -4.03726961904e-06, 0.0990368531717, 2.0394105683e-06, -1.17608700556e-11, 6.33749317198e-07
1516610771788429021, 0.370553016663, 0.00284815723278, -3.96648985056e-06, 0.0990948220883, 2.04638273174e-06, -1.27096111413e-11, 6.35066317502e-07
1516610771795773029, 0.377908945084, 0.00251242301255, -3.76893650055e-06, 0.0992862777555, 1.86842755783e-06, 6.30828722592e-13, 5.79513953754e-07
1516610771802476882, 0.384603977203, 0.00251242301255, -3.76893650055e-06, 0.0992862777555, 1.86842755783e-06, 6.30828722592e-13, 5.79513953754e-07
1516610771811471939, 0.39360499382, 0.00220950495895, -3.64432813311e-06, 0.0994208493519, 1.68249837553e-06, 1.50681134237e-11, 5.22028574601e-07
1516610771820152044, 0.402287006378, 0.00190969098043, -3.51892443725e-06, 0.0995487227651, 1.49631093892e-06, 2.94340662954e-11, 4.64220271611e-07
1516610771827049016, 0.40917301178, -0.00570630758159, -2.50822914676e-06, 0.0997888629423, -5.46343329184e-06, -0.0610470493186, -1.51248091391e-06
1516610771834310054, 0.41644692421, 0.00266783830973, -3.48126842861e-06, 0.0993023700837, 2.08926316861e-06, -2.23759344387e-11, 6.44310624225e-07
