time, local_time, values[0], values[1], values[2], values[3], values[4], values[5], values[6], values[7], values[8], values[9], values[10], values[11], values[12]
1516608742765368938, 0.0148000717163, 0.1, -1.50373261731e-16, -1.4664872606e-20, 1.22586898098e-16, 6.2406101837e-20, 1.05285551536e-17, 6.85860127297e-20, 2.70289530082e-05, 0.17988064756, 0.139198234051, 2.65864531054e-05, -0.319078882065, -1.63218962307e-05
1516608742765569925, 0.0149929523468, 0.1, 5.22021735495e-06, -4.33436829772e-07, -1.56673651519e-08, -2.55823685066e-10, 1.55032180521e-11, -4.3256354365e-10, 2.56482422466e-05, 0.179866913356, 0.139208483528, 2.65863088783e-05, -0.319075397206, -1.77026490309e-05
1516608742771147966, 0.0205869674683, 0.1, 1.0266063193e-05, -8.5238980929e-07, -2.93134474149e-08, -5.07230017279e-10, 3.07403027245e-11, -8.57678610541e-10, 2.4313697175e-05, 0.179853637481, 0.139218390975, 2.65861738644e-05, -0.319072028649, -1.90372436739e-05
1516608742778569936, 0.0280160903931, 0.1, 1.51493257561e-05, -1.25783827709e-06, -4.12029566378e-08, -7.54474322083e-10, 4.57245357907e-11, -1.27577428095e-09, 2.30221954321e-05, 0.179840788992, 0.139227979489, 2.65860474054e-05, -0.319068768549, -2.03288019272e-05
1516608742788769960, 0.038241147995, 0.1, 1.51493257561e-05, -1.25783827709e-06, -4.12029566378e-08, -7.54474322083e-10, 4.57245357907e-11, -1.27577428095e-09, 2.3022195421e-05, 0.179840788992, 0.139227979489, 2.65860474054e-05, -0.319068768549, -2.03288019382e-05
1516608742794188022, 0.0436310768127, 0.1, 2.43862409599e-05, -2.0248838973e-06, -5.16237304586e-05, -1.23321989966e-09, 7.47071768752e-11, -2.08457647001e-09, 2.05789434476e-05, 0.179834987748, 0.139236686796, 2.65907961241e-05, -0.319071674376, -2.27771784096e-05
1516608742803100109, 0.0525419712067, 0.1, 2.85396540027e-05, -2.37215049504e-06, -0.000230609287049, -1.46349723422e-09, 8.80349244574e-11, -2.45997419408e-09, 1.94728219551e-05, 0.179888288561, 0.139212105323, 2.66079897121e-05, -0.319100393609, -2.39007211512e-05
1516608742811064004, 0.0604960918427, 0.1, 2.85396540027e-05, -2.37215049504e-06, -0.000230609287049, -1.46349723422e-09, 8.80349244574e-11, -2.45997419408e-09, 1.94728218445e-05, 0.179888288561, 0.139212105323, 2.66079897121e-05, -0.319100393609, -2.39007212618e-05
1516608742818640947, 0.068097114563, 0.1, 3.41521879107e-05, -2.93078860618e-06, -0.00141591166985, -2.21442654451e-09, 1.09573500889e-10, -3.19827400773e-09, 1.76929670213e-05, 0.180299081532, 0.139006132386, 2.67230893717e-05, -0.319305213465, -2.57963092875e-05
1516608742826626062, 0.0760631561279, 0.1, 3.43762457144e-05, -3.13837577143e-06, -0.00244759027466, -3.15516401727e-09, 1.17666348563e-10, -3.70464613836e-09, 1.70306852414e-05, 0.180669240742, 0.138817391159, 2.68244111392e-05, -0.31948663138, -2.65602670794e-05
1516608742835303068, 0.0847430229187, 0.1, 3.21663927302e-05, -3.31037754013e-06, -0.00367316753492, -4.78841885846e-09, 1.24536185671e-10, -4.42378665363e-09, 1.64807544557e-05, 0.181116009155, 0.138587873323, 2.69461176909e-05, -0.319703881898, -2.72322125467e-05
1516608742842739105, 0.0921700000763, 0.1, 2.71488134948e-05, -3.45434128826e-06, -0.00503354963134, -7.28741698402e-09, 1.30520922132e-10, -5.42169207584e-09, 1.60188876363e-05, 0.181619484094, 0.138327425148, 2.70829531548e-05, -0.319946908612, -2.78311360539e-05
1516608742850570917, 0.100006103516, 0.1, 2.71488134948e-05, -3.45434128826e-06, -0.00503354963134, -7.28741698402e-09, 1.30520922132e-10, -5.42169207584e-09, 1.6018865795e-05, 0.181619484094, 0.138327425148, 2.70829531513e-05, -0.319946908612, -2.78311578931e-05
