time, local_time, values[0], values[1], values[2], values[3], values[4], values[5], values[6], values[7], values[8], values[9], values[10], values[11], values[12]
1516610219086886882, 0.0113940238953, 0.1, -1.87149331099e-16, -2.43417476708e-20, 6.12934490489e-16, -1.16428470872e-20, 4.19151551131e-16, 1.24701841327e-20, 2.70261547777e-05, 0.179881386645, 0.139190738712, 2.65864633032e-05, -0.319072125811, -1.63233842976e-05
1516610219088685989, 0.0131950378418, 0.1, -1.87149331099e-16, -2.43417476708e-20, 6.12934490489e-16, -1.16428470872e-20, 4.19151551131e-16, 1.24701841327e-20, 2.70261547777e-05, 0.179881386645, 0.139190738712, 2.65864633031e-05, -0.319072125811, -1.63233842975e-05
1516610219096651077, 0.0211689472198, 0.1, 5.40381650448e-06, -4.21076963349e-07, -1.49597090725e-08, -2.55604193544e-10, 1.49535051835e-11, -4.37269310005e-10, 2.56849200208e-05, 0.179867169511, 0.139201349311, 2.65863167037e-05, -0.319068519147, -1.76646541553e-05
1516610219104687929, 0.0291991233826, 0.1, 1.06278196563e-05, -8.28137296552e-07, -2.79939273943e-08, -5.06799509727e-10, 2.96488546236e-11, -8.67021545684e-10, 2.43883593596e-05, 0.179853425051, 0.139211607166, 2.65861793509e-05, -0.319065032417, -1.89612577116e-05
1516610219113110065, 0.0376350879669, 0.1, 1.56821976342e-05, -1.22197524157e-06, -3.93540539601e-08, -7.5379636292e-10, 4.4100247739e-11, -1.28961357743e-09, 2.31339401931e-05, 0.179840126531, 0.139221532233, 2.65860506907e-05, -0.319061658844, -2.02157270497e-05
1516610219121794939, 0.0463061332703, 0.1, 2.0572150313e-05, -1.60299876363e-06, -5.53980883749e-06, -9.96425300466e-10, 5.82957116949e-11, -1.70473534537e-09, 2.19203606631e-05, 0.179829230401, 0.139230130488, 2.65864599411e-05, -0.319059360852, -2.14298948784e-05
1516610219130558013, 0.055074930191, 0.1, 2.52545687484e-05, -1.96797054252e-06, -5.16210549629e-05, -1.23238664318e-09, 7.20680314786e-11, -2.1076713549e-09, 2.07579290229e-05, 0.179833441677, 0.139230899133, 2.65907944884e-05, -0.31906434066, -2.25968502621e-05
1516610219136929035, 0.0614409446716, 0.1, 3.31529251854e-05, -2.60299184303e-06, -0.000664107998062, -1.73529283584e-09, 9.62741309114e-11, -2.84632379337e-09, 1.87353357922e-05, 0.180032470279, 0.139134349739, 2.66498993097e-05, -0.31916681967, -2.46790582061e-05
1516610219144515991, 0.0690310001373, 0.1, 3.31529251854e-05, -2.60299184303e-06, -0.000664107998062, -1.73529283584e-09, 9.62741309114e-11, -2.84632379337e-09, 1.87353351711e-05, 0.180032470279, 0.139134349739, 2.66498993096e-05, -0.31916681967, -2.4679058827e-05
1516610219153006076, 0.0775210857391, 0.1, 3.60442249444e-05, -2.84038454258e-06, -0.000843990900381, -1.94370969298e-09, 1.0524579384e-10, -3.12776941099e-09, 1.79792096396e-05, 0.180089436625, 0.139107101775, 2.66673056204e-05, -0.319196537978, -2.54527595648e-05
1516610219161346912, 0.0858619213104, 0.1, 3.62129742515e-05, -3.04883285335e-06, -0.00225859315044, -2.97143062529e-09, 1.13374027502e-10, -3.67444450664e-09, 1.73141655053e-05, 0.180597140873, 0.138848182478, 2.68057469822e-05, -0.319445322859, -2.6256725047e-05
1516610219168513059, 0.093022108078, 0.1, 3.42480350898e-05, -3.2163467507e-06, -0.00350920328299, -4.54549941055e-09, 1.20011582168e-10, -4.37557758547e-09, 1.67787072173e-05, 0.181052145973, 0.138614618049, 2.69297208537e-05, -0.319666763473, -2.69164800433e-05
1516610219176593065, 0.101095914841, 0.1, 2.94449565125e-05, -3.35630465805e-06, -0.00489137807293, -6.99017539634e-09, 1.25786084076e-10, -5.35683108905e-09, 1.63297953736e-05, 0.18156276494, 0.138350656476, 2.7068523972e-05, -0.319913420817, -2.75044292631e-05
1516610219185333013, 0.109861135483, 0.1, 2.14026810784e-05, -3.47088885938e-06, -0.00638702593087, -1.04643556298e-08, 1.30805736072e-10, -6.67341206784e-09, 1.59602518566e-05, 0.182123974966, 0.138058536165, 2.7220882544e-05, -0.320182510489, -2.80264490512e-05
1516610219193927049, 0.118441104889, 0.1, 9.69269276851e-06, -3.56055846854e-06, -0.00799008878829, -1.51304984094e-08, 1.35106463132e-10, -8.37932653915e-09, 1.56683810892e-05, 0.182735256714, 0.137738172824, 2.73867395486e-05, -0.320473428861, -2.8484152351e-05
1516610219201102018, 0.125612020493, 0.1, -2.58007738116e-05, -3.67221148636e-06, -0.0114619413742, -2.85043542853e-08, 1.41882946066e-10, -1.31121852384e-08, 1.52946278454e-05, 0.184093035529, 0.137019387995, 2.77553760209e-05, -0.321112422794, -2.92259798542e-05
1516610219208863019, 0.133379936218, 0.1, -2.58007738116e-05, -3.67221148636e-06, -0.0114619413742, -2.85043542853e-08, 1.41882946066e-10, -1.31121852384e-08, 1.5294362463e-05, 0.184093035529, 0.137019387995, 2.77553759782e-05, -0.321112422794, -2.922624521e-05
1516610219219223976, 0.143747091293, 0.1, -4.10228729526e-05, -3.72250418943e-06, -0.0126426669518, -3.42771237556e-08, 1.44781806989e-10, -1.51441943915e-08, 1.51263427024e-05, 0.184565774805, 0.136766925111, 2.78840464231e-05, -0.321332699164, -2.95225743776e-05
1516610219225334882, 0.14987206459, 0.1, -7.38403308273e-05, -3.71744485211e-06, -0.0149703746389, -4.62145088489e-08, 1.46882418033e-10, -1.92393144767e-08, 1.51260644024e-05, 0.185509873786, 0.136260581168, 2.81414735635e-05, -0.32177045419, -2.97794319484e-05
1516610219233011960, 0.157524108887, 0.1, -0.000105058071055, -3.71186777429e-06, -0.0169288384353, -5.76502974578e-08, 1.48791303591e-10, -2.31417304672e-08, 1.51279437179e-05, 0.186319194203, 0.135823910729, 2.83630482388e-05, -0.322143104158, -2.99982094027e-05
1516610219241255998, 0.165771961212, 0.1, -0.000139728854025, -3.69285549517e-06, -0.0189155180735, -7.0388386413e-08, 1.50407935411e-10, -2.74583144505e-08, 1.51708408873e-05, 0.187153900732, 0.135371334508, 2.85925396137e-05, -0.32252523446, -3.01836969364e-05
1516610219248742103, 0.173269033432, 0.1, -0.000177536727377, -3.66189786053e-06, -0.02092224742, -8.43581849167e-08, 1.517742488e-10, -3.216293258e-08, 1.5250078357e-05, 0.188011022692, 0.134904524595, 2.88293673713e-05, -0.322915546502, -3.03399981199e-05
1516610219257304906, 0.181828022003, 0.1, -0.000218084596495, -3.62033908708e-06, -0.0229418142438, -9.94621374783e-08, 1.52922502374e-10, -3.72208493253e-08, 1.53615323571e-05, 0.18888771285, 0.13442514785, 2.90730010532e-05, -0.323312859914, -3.04707170037e-05
1516610219264811038, 0.189327955246, 0.1, -0.000261127811427, -3.56938178369e-06, -0.0249678177677, -1.15657469498e-07, 1.53882496416e-10, -4.2616109999e-08, 1.55014590214e-05, 0.189781802862, 0.133934432259, 2.93230462774e-05, -0.323716234337, -3.05792060488e-05
1516610219272747993, 0.197282075882, 0.1, -0.000306562198965, -3.51016871659e-06, -0.0269944317523, -1.32951741011e-07, 1.54689803795e-10, -4.83496100586e-08, 1.56662357822e-05, 0.190691676128, 0.133433238332, 2.95792135484e-05, -0.32412491368, -3.06687939547e-05
1516610219281595945, 0.206115007401, 0.1, -0.000354109140912, -3.44380432105e-06, -0.0290163912607, -1.51290977453e-07, 1.55369133644e-10, -5.44018429121e-08, 1.58524459558e-05, 0.191615429647, 0.132922689093, 2.98411786588e-05, -0.324538117967, -3.07425782509e-05
1516610219289500951, 0.214056968689, 0.1, -0.000403238850939, -3.3713217679e-06, -0.0310290127767, -1.70531295628e-07, 1.55933772802e-10, -6.07241264562e-08, 1.60570272283e-05, 0.192550677383, 0.132404320988, 3.01085502663e-05, -0.324954997604, -3.0803249005e-05
